4,Dance Monkey,Tones and I,5943521
2,The Box,Roddy Ricch,5763703
3,Blinding Lights,Weekend,5701747
4,Intentions,Justin Bieber(feat. Quavo),4753680
7,Don't Start Now,Dua Lipa,4620166
6,No Time To Die,Billie Eilish,4339313
7,Yummy,Justin Bieber,4033884
8,Tusa,KAROL G,3965183
9,Falling,Trevor Daniel,3878033
10,ROXANNE,Arizona Zervas,3679493
11,Life Is Good,Future(feat. Drake),3461908
12,everything i wanted,Billie Eilish,3373714
13,Circles,Post Malone,2977561
14,Godzilla,Eminem(feat. Juice WRLD),2884629
15,Someone You Loved,Lewis Capaldi,2837428
